,CAMPAÑA,ID_FINCA,ID_ZONA,ID_ESTACION,ALTITUD,VARIEDAD,MODO,TIPO,COLOR,SUPERFICIE,PRODUCCION,ALTITUD_MIN,ALTITUD_DIF,P/S,ID_FINCA_ZONA
12,14,5696,919,14,650-660,59,0,0,1,0.0,21907.6,650.0,10.0,0,5696_919
13,14,98814,919,14,650-660,32,1,0,1,0.0,31496.5,650.0,10.0,0,98814_919
14,14,98814,919,14,650-660,40,1,0,1,0.0,16990.0,650.0,10.0,0,98814_919
15,14,4024,919,14,650-660,32,1,0,1,0.0,54893.9,650.0,10.0,0,4024_919
16,14,4024,919,14,650-660,87,1,0,0,0.0,13440.0,650.0,10.0,0,4024_919
17,14,4024,919,14,650-660,17,1,0,1,0.0,33878.0,650.0,10.0,0,4024_919
18,14,4024,919,14,650-660,52,1,0,1,0.0,34170.0,650.0,10.0,0,4024_919
19,14,4024,919,14,650-660,59,1,0,1,0.0,13731.2,650.0,10.0,0,4024_919
20,14,4024,919,14,650-660,81,1,0,1,0.0,42580.0,650.0,10.0,0,4024_919
21,14,73332,919,3,650-660,32,1,0,1,0.0,3599.6,650.0,10.0,0,73332_919
22,14,48410,919,14,650-660,68,0,0,0,0.0,7760.0,650.0,10.0,0,48410_919
23,14,48410,919,14,650-660,59,0,0,1,0.0,2380.0,650.0,10.0,0,48410_919
24,14,39664,919,14,650-660,68,0,0,0,0.0,7040.0,650.0,10.0,0,39664_919
25,14,39664,919,14,650-660,59,0,0,1,0.0,1940.0,650.0,10.0,0,39664_919
26,14,39664,919,14,650-660,59,1,0,1,0.0,3165.0,650.0,10.0,0,39664_919
34,14,38795,464,14,650-660,40,1,0,1,0.0,28.0,650.0,10.0,0,38795_464
35,14,43705,464,14,650-660,17,1,0,1,0.0,8280.0,650.0,10.0,0,43705_464
36,14,93182,464,14,650-660,40,1,0,1,0.0,5.6,650.0,10.0,0,93182_464
38,14,24404,464,14,650-660,32,1,0,1,0.0,9363.6,650.0,10.0,0,24404_464
39,14,70378,464,14,650-660,9,1,0,0,0.0,980.0,650.0,10.0,0,70378_464
40,14,1592,464,3,650-660,32,1,0,1,0.0,1907.4,650.0,10.0,0,1592_464
41,14,20943,464,3,650-660,32,1,0,1,0.0,1040.4,650.0,10.0,0,20943_464
42,14,10999,464,3,650-660,32,1,0,1,0.0,346.8,650.0,10.0,0,10999_464
43,14,23983,464,3,650-660,32,1,0,1,0.0,520.2,650.0,10.0,0,23983_464
44,14,71061,464,3,650-660,32,1,0,1,0.0,1213.8,650.0,10.0,0,71061_464
45,14,39360,464,3,650-660,32,1,0,1,0.0,1734.0,650.0,10.0,0,39360_464
46,14,86582,464,14,650-660,17,0,0,1,0.0,90640.0,650.0,10.0,0,86582_464
47,14,86582,464,14,650-660,59,0,0,1,0.0,14324.2,650.0,10.0,0,86582_464
48,14,83472,464,14,650-660,17,0,0,1,0.0,38930.0,650.0,10.0,0,83472_464
49,14,83472,464,14,650-660,59,0,0,1,0.0,80920.0,650.0,10.0,0,83472_464
50,14,77984,464,14,650-660,17,1,0,1,0.0,3127.2,650.0,10.0,0,77984_464
51,14,77984,464,14,650-660,59,1,0,1,0.0,1471.2,650.0,10.0,0,77984_464
52,14,13054,464,14,650-660,17,1,0,1,0.0,6254.4,650.0,10.0,0,13054_464
53,14,13054,464,14,650-660,59,1,0,1,0.0,4658.8,650.0,10.0,0,13054_464
55,14,1142,464,14,650-660,59,0,0,1,0.0,2106.5,650.0,10.0,0,1142_464
56,14,16692,464,14,650-660,17,1,0,1,0.0,2606.0,650.0,10.0,0,16692_464
57,14,16692,464,14,650-660,59,1,0,1,0.0,1471.2,650.0,10.0,0,16692_464
58,14,78846,464,14,650-660,17,1,0,1,0.0,3127.2,650.0,10.0,0,78846_464
59,14,78846,464,14,650-660,59,1,0,1,0.0,1716.4,650.0,10.0,0,78846_464
60,14,59317,464,14,650-660,17,1,0,1,0.0,3127.2,650.0,10.0,0,59317_464
61,14,59317,464,14,650-660,59,1,0,1,0.0,1471.2,650.0,10.0,0,59317_464
62,14,10133,464,14,650-660,17,0,0,1,0.0,588.8,650.0,10.0,0,10133_464
63,14,75065,464,14,650-660,59,0,0,1,0.0,3791.7,650.0,10.0,0,75065_464
64,14,18976,464,14,650-660,32,1,0,1,0.0,1040.4,650.0,10.0,0,18976_464
65,14,25825,464,14,650-660,17,0,0,1,0.0,2905.328,650.0,10.0,0,25825_464
66,14,92531,464,14,650-660,59,0,0,1,0.0,1940.0,650.0,10.0,0,92531_464
67,14,92531,464,14,650-660,59,1,0,1,0.0,3165.0,650.0,10.0,0,92531_464
68,14,80506,464,14,650-660,40,1,0,1,0.0,28.0,650.0,10.0,0,80506_464
69,14,92099,464,14,650-660,40,1,0,1,0.0,8.4,650.0,10.0,0,92099_464
77,14,36535,186,8,695,17,0,0,1,0.0,3360.0,695.0,0.0,0,36535_186
78,14,36535,186,8,695,59,0,0,1,0.0,900.0,695.0,0.0,0,36535_186
80,14,18632,165,8,700,52,1,0,1,0.0,16050.0,700.0,0.0,0,18632_165
81,14,16613,165,8,700,17,0,0,1,0.0,11534.672,700.0,0.0,0,16613_165
82,14,13439,428,14,730,32,1,0,1,0.0,754.0,730.0,0.0,0,13439_428
85,14,19515,973,2,500,32,1,0,1,0.0,18980.5,500.0,0.0,0,19515_973
86,14,35465,964,2,500,32,1,0,1,0.0,13557.5,500.0,0.0,0,35465_964
87,14,37826,964,2,500,32,1,0,1,0.0,16811.3,500.0,0.0,0,37826_964
88,14,37826,964,2,500,17,1,0,1,0.0,50080.0,500.0,0.0,0,37826_964
89,14,49672,828,2,500,32,1,0,1,0.0,4880.7,500.0,0.0,0,49672_828
90,14,59146,734,11,530,59,0,0,1,0.0,2700.0,530.0,0.0,0,59146_734
99,14,74473,44,7,620-640,59,1,0,1,0.0,12360.0,620.0,20.0,0,74473_44
100,14,40200,44,7,620-640,71,0,0,1,0.0,372.0,620.0,20.0,0,40200_44
101,14,40200,44,7,620-640,68,0,0,0,0.0,1460.0,620.0,20.0,0,40200_44
102,14,38272,44,7,620-640,71,0,0,1,0.0,868.0,620.0,20.0,0,38272_44
