CAMPAÑA,ID_FINCA,ID_ZONA,ID_ESTACION,ALTITUD,VARIEDAD,MODO,TIPO,COLOR,SUPERFICIE,PRODUCCION,ALTITUD_MIN,ALTITUD_DIF
14,12,7,2,650-660,5,2,1,1,0.0,21907.6,650,10
14,13,7,2,650-660,2,1,1,1,0.0,31496.5,650,10
14,13,7,2,650-660,6,1,1,1,0.0,16990.0,650,10
14,14,7,2,650-660,2,1,1,1,0.0,54893.9,650,10
14,14,7,2,650-660,7,1,1,2,0.0,13440.0,650,10
14,14,7,2,650-660,4,1,1,1,0.0,33878.0,650,10
14,14,7,2,650-660,8,1,1,1,0.0,34170.0,650,10
14,14,7,2,650-660,5,1,1,1,0.0,13731.2,650,10
14,14,7,2,650-660,3,1,1,1,0.0,42580.0,650,10
14,15,7,3,650-660,2,1,1,1,0.0,3599.6,650,10
14,16,7,2,650-660,9,2,1,2,0.0,7760.0,650,10
14,16,7,2,650-660,5,2,1,1,0.0,2380.0,650,10
14,17,7,2,650-660,9,2,1,2,0.0,7040.0,650,10
14,17,7,2,650-660,5,2,1,1,0.0,1940.0,650,10
14,17,7,2,650-660,5,1,1,1,0.0,3165.0,650,10
14,21,8,2,650-660,6,1,1,1,0.0,28.0,650,10
14,22,8,2,650-660,4,1,1,1,0.0,8280.0,650,10
14,23,8,2,650-660,6,1,1,1,0.0,5.6,650,10
14,25,8,2,650-660,2,1,1,1,0.0,9363.6,650,10
14,26,8,2,650-660,10,1,1,2,0.0,980.0,650,10
14,27,8,3,650-660,2,1,1,1,0.0,1907.4,650,10
14,28,8,3,650-660,2,1,1,1,0.0,1040.4,650,10
14,29,8,3,650-660,2,1,1,1,0.0,346.8,650,10
14,30,8,3,650-660,2,1,1,1,0.0,520.2,650,10
14,31,8,3,650-660,2,1,1,1,0.0,1213.8,650,10
14,32,8,3,650-660,2,1,1,1,0.0,1734.0,650,10
14,33,8,2,650-660,4,2,1,1,0.0,90640.0,650,10
14,33,8,2,650-660,5,2,1,1,0.0,14324.2,650,10
14,34,8,2,650-660,4,2,1,1,0.0,38930.0,650,10
14,34,8,2,650-660,5,2,1,1,0.0,80920.0,650,10
14,35,8,2,650-660,4,1,1,1,0.0,3127.2,650,10
14,35,8,2,650-660,5,1,1,1,0.0,1471.2,650,10
14,36,8,2,650-660,4,1,1,1,0.0,6254.4,650,10
14,36,8,2,650-660,5,1,1,1,0.0,4658.8,650,10
14,38,8,2,650-660,5,2,1,1,0.0,2106.5,650,10
14,39,8,2,650-660,4,1,1,1,0.0,2606.0,650,10
14,39,8,2,650-660,5,1,1,1,0.0,1471.2,650,10
14,40,8,2,650-660,4,1,1,1,0.0,3127.2,650,10
14,40,8,2,650-660,5,1,1,1,0.0,1716.4,650,10
14,41,8,2,650-660,4,1,1,1,0.0,3127.2,650,10
14,41,8,2,650-660,5,1,1,1,0.0,1471.2,650,10
14,42,8,2,650-660,4,2,1,1,0.0,588.8,650,10
14,43,8,2,650-660,5,2,1,1,0.0,3791.7,650,10
14,44,8,2,650-660,2,1,1,1,0.0,1040.4,650,10
14,45,8,2,650-660,4,2,1,1,0.0,2905.328,650,10
14,46,8,2,650-660,5,2,1,1,0.0,1940.0,650,10
14,46,8,2,650-660,5,1,1,1,0.0,3165.0,650,10
14,47,8,2,650-660,6,1,1,1,0.0,28.0,650,10
14,48,8,2,650-660,6,1,1,1,0.0,8.4,650,10
14,56,11,4,695,4,2,1,1,0.0,3360.0,695,0
14,56,11,4,695,5,2,1,1,0.0,900.0,695,0
14,58,12,4,700,8,1,1,1,0.0,16050.0,700,0
