CAMPAÑA,ID_FINCA,ID_ZONA,ID_ESTACION,ALTITUD,VARIEDAD,MODO,TIPO,COLOR,SUPERFICIE,PRODUCCION,ALTITUD_MIN,ALTITUD_DIF,P/S
14,5696,919,14,650-660,59,0,0,1,0.0,21907.6,650.0,10.0,0
14,98814,919,14,650-660,32,1,0,1,0.0,31496.5,650.0,10.0,0
14,98814,919,14,650-660,40,1,0,1,0.0,16990.0,650.0,10.0,0
14,4024,919,14,650-660,32,1,0,1,0.0,54893.9,650.0,10.0,0
14,4024,919,14,650-660,87,1,0,0,0.0,13440.0,650.0,10.0,0
14,4024,919,14,650-660,17,1,0,1,0.0,33878.0,650.0,10.0,0
14,4024,919,14,650-660,52,1,0,1,0.0,34170.0,650.0,10.0,0
14,4024,919,14,650-660,59,1,0,1,0.0,13731.2,650.0,10.0,0
14,4024,919,14,650-660,81,1,0,1,0.0,42580.0,650.0,10.0,0
14,73332,919,3,650-660,32,1,0,1,0.0,3599.6,650.0,10.0,0
14,48410,919,14,650-660,68,0,0,0,0.0,7760.0,650.0,10.0,0
14,48410,919,14,650-660,59,0,0,1,0.0,2380.0,650.0,10.0,0
14,39664,919,14,650-660,68,0,0,0,0.0,7040.0,650.0,10.0,0
14,39664,919,14,650-660,59,0,0,1,0.0,1940.0,650.0,10.0,0
14,39664,919,14,650-660,59,1,0,1,0.0,3165.0,650.0,10.0,0
14,38795,464,14,650-660,40,1,0,1,0.0,28.0,650.0,10.0,0
14,43705,464,14,650-660,17,1,0,1,0.0,8280.0,650.0,10.0,0
14,93182,464,14,650-660,40,1,0,1,0.0,5.6,650.0,10.0,0
14,24404,464,14,650-660,32,1,0,1,0.0,9363.6,650.0,10.0,0
14,70378,464,14,650-660,9,1,0,0,0.0,980.0,650.0,10.0,0
14,1592,464,3,650-660,32,1,0,1,0.0,1907.4,650.0,10.0,0
14,20943,464,3,650-660,32,1,0,1,0.0,1040.4,650.0,10.0,0
14,10999,464,3,650-660,32,1,0,1,0.0,346.8,650.0,10.0,0
14,23983,464,3,650-660,32,1,0,1,0.0,520.2,650.0,10.0,0
14,71061,464,3,650-660,32,1,0,1,0.0,1213.8,650.0,10.0,0
14,39360,464,3,650-660,32,1,0,1,0.0,1734.0,650.0,10.0,0
14,86582,464,14,650-660,17,0,0,1,0.0,90640.0,650.0,10.0,0
14,86582,464,14,650-660,59,0,0,1,0.0,14324.2,650.0,10.0,0
14,83472,464,14,650-660,17,0,0,1,0.0,38930.0,650.0,10.0,0
14,83472,464,14,650-660,59,0,0,1,0.0,80920.0,650.0,10.0,0
14,77984,464,14,650-660,17,1,0,1,0.0,3127.2,650.0,10.0,0
14,77984,464,14,650-660,59,1,0,1,0.0,1471.2,650.0,10.0,0
14,13054,464,14,650-660,17,1,0,1,0.0,6254.4,650.0,10.0,0
14,13054,464,14,650-660,59,1,0,1,0.0,4658.8,650.0,10.0,0
14,1142,464,14,650-660,59,0,0,1,0.0,2106.5,650.0,10.0,0
14,16692,464,14,650-660,17,1,0,1,0.0,2606.0,650.0,10.0,0
14,16692,464,14,650-660,59,1,0,1,0.0,1471.2,650.0,10.0,0
14,78846,464,14,650-660,17,1,0,1,0.0,3127.2,650.0,10.0,0
14,78846,464,14,650-660,59,1,0,1,0.0,1716.4,650.0,10.0,0
14,59317,464,14,650-660,17,1,0,1,0.0,3127.2,650.0,10.0,0
14,59317,464,14,650-660,59,1,0,1,0.0,1471.2,650.0,10.0,0
14,10133,464,14,650-660,17,0,0,1,0.0,588.8,650.0,10.0,0
14,75065,464,14,650-660,59,0,0,1,0.0,3791.7,650.0,10.0,0
14,18976,464,14,650-660,32,1,0,1,0.0,1040.4,650.0,10.0,0
14,25825,464,14,650-660,17,0,0,1,0.0,2905.328,650.0,10.0,0
14,92531,464,14,650-660,59,0,0,1,0.0,1940.0,650.0,10.0,0
14,92531,464,14,650-660,59,1,0,1,0.0,3165.0,650.0,10.0,0
14,80506,464,14,650-660,40,1,0,1,0.0,28.0,650.0,10.0,0
14,92099,464,14,650-660,40,1,0,1,0.0,8.4,650.0,10.0,0
14,36535,186,8,695,17,0,0,1,0.0,3360.0,695.0,0.0,0
14,36535,186,8,695,59,0,0,1,0.0,900.0,695.0,0.0,0
14,18632,165,8,700,52,1,0,1,0.0,16050.0,700.0,0.0,0
14,16613,165,8,700,17,0,0,1,0.0,11534.672,700.0,0.0,0
14,13439,428,14,730,32,1,0,1,0.0,754.0,730.0,0.0,0
14,19515,973,2,500,32,1,0,1,0.0,18980.5,500.0,0.0,0
14,35465,964,2,500,32,1,0,1,0.0,13557.5,500.0,0.0,0
14,37826,964,2,500,32,1,0,1,0.0,16811.3,500.0,0.0,0
14,37826,964,2,500,17,1,0,1,0.0,50080.0,500.0,0.0,0
14,49672,828,2,500,32,1,0,1,0.0,4880.7,500.0,0.0,0
14,59146,734,11,530,59,0,0,1,0.0,2700.0,530.0,0.0,0
14,74473,44,7,620-640,59,1,0,1,0.0,12360.0,620.0,20.0,0
14,40200,44,7,620-640,71,0,0,1,0.0,372.0,620.0,20.0,0
14,40200,44,7,620-640,68,0,0,0,0.0,1460.0,620.0,20.0,0
14,38272,44,7,620-640,71,0,0,1,0.0,868.0,620.0,20.0,0
14,38272,44,7,620-640,87,0,0,0,0.0,4420.0,620.0,20.0,0
14,38272,44,7,620-640,17,0,0,1,0.0,6200.0,620.0,20.0,0
14,38272,44,7,620-640,81,0,0,1,0.0,13330.0,620.0,20.0,0
14,27629,44,7,620-640,32,1,0,1,0.0,14160.0,620.0,20.0,0
14,99693,899,16,640,81,0,0,1,0.0,16856.59,640.0,0.0,0
14,91094,379,16,610-630,59,0,0,1,0.0,6420.1,610.0,20.0,0
14,37661,379,16,610-630,59,0,0,1,0.0,6758.0,610.0,20.0,0
14,2891,379,16,610-630,59,0,0,1,0.0,13178.1,610.0,20.0,0
14,3555,379,16,610-630,59,0,0,1,0.0,3716.9,610.0,20.0,0
14,72124,379,16,610-630,32,1,0,1,0.0,4865.0,610.0,20.0,0
14,18581,379,16,610-630,59,1,0,1,0.0,1350.0,610.0,20.0,0
14,13822,379,16,610-630,59,1,0,1,0.0,1350.0,610.0,20.0,0
14,23846,379,16,610-630,59,1,0,1,0.0,1350.0,610.0,20.0,0
14,89768,379,7,610-630,52,1,0,1,0.0,3530.0,610.0,20.0,0
14,57254,379,7,610-630,59,0,0,1,0.0,11280.0,610.0,20.0,0
14,57254,379,7,610-630,32,1,0,1,0.0,18120.0,610.0,20.0,0
14,80170,379,7,610-630,32,1,0,1,0.0,8817.036,610.0,20.0,0
14,3091,379,16,610-630,81,0,0,1,0.0,26610.34,610.0,20.0,0
14,80479,379,7,610-630,52,1,0,1,0.0,19930.0,610.0,20.0,0
14,88517,379,16,610-630,87,0,0,0,0.0,6160.0,610.0,20.0,0
14,61928,379,16,610-630,81,0,0,1,0.0,4697.34,610.0,20.0,0
14,87201,379,16,610-630,59,0,0,1,0.0,3716.9,610.0,20.0,0
14,94886,726,7,610,17,0,0,1,0.0,6744.0,610.0,0.0,0
14,94886,726,7,610,32,1,0,1,0.0,10505.0,610.0,0.0,0
14,44512,726,7,610,32,1,0,1,0.0,10505.0,610.0,0.0,0
14,63181,726,7,610,68,0,0,0,0.0,6780.0,610.0,0.0,0
14,63181,726,7,610,17,0,0,1,0.0,10116.0,610.0,0.0,0
14,48816,726,7,610,17,0,0,1,0.0,11316.0,610.0,0.0,0
14,96975,726,7,610,59,0,0,1,0.0,4456.2,610.0,0.0,0
14,68761,726,7,610,17,0,0,1,0.0,7544.0,610.0,0.0,0
14,85950,474,7,620-630,9,1,0,0,0.0,4820.0,620.0,10.0,0
14,1270,474,7,620-630,9,1,0,0,0.0,4820.0,620.0,10.0,0
14,12869,474,7,620-630,81,1,0,1,0.0,21826.8,620.0,10.0,0
14,87878,474,7,620-630,15,1,0,1,0.0,7030.0,620.0,10.0,0
14,94554,893,7,580-600,68,0,0,0,0.0,10610.0,580.0,20.0,0
14,64499,893,7,580-600,32,1,0,1,0.0,5626.71,580.0,20.0,0
14,84904,893,7,580-600,32,1,0,1,0.0,4126.254,580.0,20.0,0
14,8690,893,7,580-600,17,1,0,1,0.0,2160.0,580.0,20.0,0
14,95008,893,7,580-600,17,0,0,1,0.0,3080.0,580.0,20.0,0
14,58150,893,7,580-600,52,1,0,1,0.0,10490.0,580.0,20.0,0
14,23668,893,7,580-600,59,1,0,1,0.0,10100.0,580.0,20.0,0
14,35287,893,7,580-600,68,0,0,0,0.0,4545.0,580.0,20.0,0
14,58567,506,7,600-620,17,1,0,1,0.0,16830.0,600.0,20.0,0
14,33248,506,16,600-620,17,0,0,1,0.0,25880.0,600.0,20.0,0
14,14470,506,7,600-620,59,0,0,1,0.0,5300.0,600.0,20.0,0
14,14470,506,7,600-620,32,1,0,1,0.0,58880.0,600.0,20.0,0
14,14470,506,7,600-620,17,1,0,1,0.0,8049.6,600.0,20.0,0
14,14470,506,7,600-620,59,1,0,1,0.0,7530.0,600.0,20.0,0
14,18139,506,7,600-620,17,0,0,1,0.0,10300.0,600.0,20.0,0
14,18139,506,7,600-620,59,0,0,1,0.0,6770.0,600.0,20.0,0
14,18139,506,7,600-620,17,1,0,1,0.0,12590.4,600.0,20.0,0
14,89440,506,7,600-620,26,1,0,1,0.0,4570.0,600.0,20.0,0
14,45489,506,16,600-620,32,1,0,1,0.0,17823.96,600.0,20.0,0
14,48877,506,16,600-620,32,1,0,1,0.0,33616.04,600.0,20.0,0
14,48877,506,16,600-620,52,1,0,1,0.0,9225.76,600.0,20.0,0
