,CAMPAÑA,ID_FINCA,ID_ZONA,ID_ESTACION,ALTITUD,VARIEDAD,MODO,TIPO,COLOR,SUPERFICIE,PRODUCCION,ALTITUD_MIN,ALTITUD_DIF,P/S
2264,16,48626,302,13,600,32,1,0,1,0.0,22413.779,600.0,0.0,"6136,817117"
2265,16,47921,302,13,600,32,1,0,1,0.0,44076.221,600.0,0.0,"6136,817117"
2266,16,87611,602,14,650-660,81,0,0,1,0.0,16900.0,654.5017182130584,9.192439862542955,"6136,817117"
2267,16,12257,215,14,650-660,17,0,0,1,0.0,7320.0,654.5017182130584,9.192439862542955,"6136,817117"
2268,16,5696,919,14,650-660,59,0,0,1,0.0,11294.4,650.0,10.0,"6136,817117"
2269,16,48093,919,14,650-660,59,1,0,1,0.0,6686.064,650.0,10.0,"6136,817117"
2270,16,98814,919,14,650-660,32,1,0,1,0.0,34670.0,650.0,10.0,"6136,817117"
2271,16,98814,919,14,650-660,40,1,0,1,0.0,12110.0,650.0,10.0,"6136,817117"
2272,16,4024,919,14,650-660,32,1,0,1,0.0,48709.313,650.0,10.0,"6136,817117"
2273,16,4024,919,14,650-660,87,1,0,0,0.0,40080.0,650.0,10.0,"6136,817117"
2274,16,4024,919,14,650-660,40,1,0,1,0.0,9575.566,650.0,10.0,"6136,817117"
2275,16,4024,919,14,650-660,17,1,0,1,0.0,35418.552,650.0,10.0,"6136,817117"
2276,16,4024,919,14,650-660,52,1,0,1,0.0,40750.0,650.0,10.0,"6136,817117"
2277,16,4024,919,14,650-660,59,1,0,1,0.0,12380.193,650.0,10.0,"6136,817117"
2278,16,4024,919,14,650-660,81,1,0,1,0.0,60125.13,650.0,10.0,"6136,817117"
2279,16,73332,919,3,650-660,32,1,0,1,0.0,2405.648,650.0,10.0,"6136,817117"
2280,16,48410,919,14,650-660,68,0,0,0,0.0,3330.0,650.0,10.0,"6136,817117"
2281,16,48410,919,14,650-660,59,0,0,1,0.0,3530.0,650.0,10.0,"6136,817117"
2282,16,48410,919,14,650-660,81,0,0,1,0.0,3510.0,650.0,10.0,"6136,817117"
