CAMPAÑA,ID_FINCA,ID_ZONA,ID_ESTACION,ALTITUD,VARIEDAD,MODO,TIPO,COLOR,SUPERFICIE,PRODUCCION,ALTITUD_MIN,ALTITUD_DIF
14,76953,515,4,660,26,1,0,1,8.123418807983398,22215.0,660.0,0.0
14,84318,515,4,660,26,1,0,1,8.123418807983398,22215.0,660.0,0.0
14,85579,340,4,520,32,1,0,1,6.600628852844238,20978.0,520.0,0.0
14,69671,340,4,520,32,1,0,1,7.4792962074279785,40722.0,520.0,0.0
14,14001,852,14,650-660,81,0,0,1,6.609812259674072,14126.0,654.5017182130584,9.192439862542955
14,17059,852,14,650-660,81,0,0,1,5.944480895996094,6054.0,654.5017182130584,9.192439862542955
14,87611,602,14,650-660,81,0,0,1,6.841997146606445,12900.0,654.5017182130584,9.192439862542955
14,12257,215,14,650-660,17,0,0,1,5.1651997566223145,5450.0,654.5017182130584,9.192439862542955
14,97286,142,14,650-660,17,0,0,1,6.528152942657471,30720.0,654.5017182130584,9.192439862542955
14,43323,142,14,650-660,59,0,0,1,6.993102073669434,34880.0,654.5017182130584,9.192439862542955
14,43323,142,14,650-660,81,0,0,1,6.966184139251709,12650.0,654.5017182130584,9.192439862542955
14,23258,142,14,650-660,81,0,0,1,5.6661858558654785,975.0,654.5017182130584,9.192439862542955
14,5696,919,14,650-660,59,0,0,1,9.10474967956543,21907.6,650.0,10.0
14,98814,919,14,650-660,32,1,0,1,7.1769304275512695,31496.5,650.0,10.0
14,98814,919,14,650-660,40,1,0,1,5.003730773925781,16990.0,650.0,10.0
14,4024,919,14,650-660,32,1,0,1,11.412857055664062,54893.9,650.0,10.0
14,4024,919,14,650-660,87,1,0,0,4.137352466583252,13440.0,650.0,10.0
14,4024,919,14,650-660,17,1,0,1,8.074796676635742,33878.0,650.0,10.0
14,4024,919,14,650-660,52,1,0,1,8.662792205810547,34170.0,650.0,10.0
14,4024,919,14,650-660,59,1,0,1,7.820778846740723,13731.2,650.0,10.0
14,4024,919,14,650-660,81,1,0,1,9.894503593444824,42580.0,650.0,10.0
14,73332,919,3,650-660,32,1,0,1,1.6960240602493286,3599.6,650.0,10.0
14,48410,919,14,650-660,68,0,0,0,3.3340036869049072,7760.0,650.0,10.0
14,48410,919,14,650-660,59,0,0,1,1.2132484912872314,2380.0,650.0,10.0
14,39664,919,14,650-660,68,0,0,0,2.8142223358154297,7040.0,650.0,10.0
14,39664,919,14,650-660,59,0,0,1,1.3419702053070068,1940.0,650.0,10.0
14,39664,919,14,650-660,59,1,0,1,1.298589825630188,3165.0,650.0,10.0
14,41325,919,14,650-660,68,0,0,0,1.7226248979568481,8330.0,650.0,10.0
14,41325,919,14,650-660,17,0,0,1,1.3695265054702759,4769.0,650.0,10.0
14,41325,919,14,650-660,59,0,0,1,1.6316286325454712,4540.0,650.0,10.0
14,3010,919,14,650-660,68,0,0,0,3.2287466526031494,7750.0,650.0,10.0
14,3010,919,14,650-660,59,0,0,1,4.21806526184082,7100.0,650.0,10.0
14,50946,919,14,650-660,68,0,0,0,2.1629281044006348,15650.0,650.0,10.0
14,50946,919,14,650-660,59,0,0,1,1.6240482330322266,2880.0,650.0,10.0
14,38795,464,14,650-660,40,1,0,1,1.0981056690216064,28.0,650.0,10.0
14,43705,464,14,650-660,17,1,0,1,3.509323835372925,8280.0,650.0,10.0
14,93182,464,14,650-660,40,1,0,1,0.6235123872756958,5.6,650.0,10.0
14,97677,464,14,650-660,87,0,0,0,3.533515691757202,2360.0,650.0,10.0
14,24404,464,14,650-660,32,1,0,1,6.264531135559082,9363.6,650.0,10.0
14,70378,464,14,650-660,9,1,0,0,2.0128209590911865,980.0,650.0,10.0
14,1592,464,3,650-660,32,1,0,1,2.8293135166168213,1907.4,650.0,10.0
14,20943,464,3,650-660,32,1,0,1,2.677905559539795,1040.4,650.0,10.0
14,10999,464,3,650-660,32,1,0,1,2.519502878189087,346.8,650.0,10.0
14,23983,464,3,650-660,32,1,0,1,6.063353538513184,520.2,650.0,10.0
14,71061,464,3,650-660,32,1,0,1,5.789506912231445,1213.8,650.0,10.0
14,39360,464,3,650-660,32,1,0,1,5.813535213470459,1734.0,650.0,10.0
14,86582,464,14,650-660,17,0,0,1,11.592071533203125,90640.0,650.0,10.0
14,86582,464,14,650-660,59,0,0,1,12.51165771484375,14324.2,650.0,10.0
14,83472,464,14,650-660,17,0,0,1,11.639213562011719,38930.0,650.0,10.0
14,83472,464,14,650-660,59,0,0,1,22.235496520996094,80920.0,650.0,10.0
14,77984,464,14,650-660,17,1,0,1,1.0298665761947632,3127.2,650.0,10.0
14,77984,464,14,650-660,59,1,0,1,1.6209148168563843,1471.2,650.0,10.0
14,13054,464,14,650-660,17,1,0,1,1.5337634086608887,6254.4,650.0,10.0
14,13054,464,14,650-660,59,1,0,1,1.4413764476776123,4658.8,650.0,10.0
14,13802,464,3,650-660,32,1,0,1,0.8195021152496338,173.4,650.0,10.0
